'-0.5821.4-0.5660.2-0.5235.1+0.26 3.5','0.9273.5+0.37 5.1+0.0640.2+0.0191.4',Iris-setosa
2.100865,-0.64211,Iris-setosa
2.379944,-0.304805,Iris-setosa
2.317064,-0.561031,Iris-setosa
2.397002,0.68528,Iris-setosa
2.076201,1.525108,Iris-setosa
2.455403,0.087658,Iris-setosa
2.244181,0.258771,Iris-setosa
2.356633,-1.078918,Iris-setosa
2.202037,-0.435608,Iris-setosa
2.171297,1.078573,Iris-setosa
2.337373,0.170654,Iris-setosa
2.238354,-0.695095,Iris-setosa
2.653197,-0.921366,Iris-setosa
2.197611,1.895114,Iris-setosa
2.252334,2.72573,Iris-setosa
2.208464,1.52076,Iris-setosa
2.199635,0.524466,Iris-setosa
1.901296,1.436733,Iris-setosa
2.346203,1.166947,Iris-setosa
1.925532,0.439353,Iris-setosa
2.211965,0.961532,Iris-setosa
2.781782,0.502524,Iris-setosa
1.831962,0.116897,Iris-setosa
2.238176,0.173915,Iris-setosa
1.971604,-0.595334,Iris-setosa
2.062395,0.276623,Iris-setosa
2.1778,0.561773,Iris-setosa
2.150988,0.346888,Iris-setosa
2.280747,-0.301544,Iris-setosa
2.15774,-0.47074,Iris-setosa
1.842944,0.453944,Iris-setosa
2.611426,1.836178,Iris-setosa
2.440622,2.191077,Iris-setosa
2.202037,-0.435608,Iris-setosa
2.223623,-0.172086,Iris-setosa
2.054544,0.693405,Iris-setosa
2.202037,-0.435608,Iris-setosa
2.449577,-0.866207,Iris-setosa
2.181051,0.303373,Iris-setosa
2.29583,0.478777,Iris-setosa
1.892943,-2.309808,Iris-setosa
2.569332,-0.438611,Iris-setosa
1.973553,0.507186,Iris-setosa
2.139579,1.179678,Iris-setosa
2.089634,-0.678329,Iris-setosa
2.387497,1.159652,Iris-setosa
2.410008,-0.34832,Iris-setosa
2.234426,1.033971,Iris-setosa
2.217369,0.043886,Iris-setosa
-1.088584,0.858592,Iris-versicolor
-0.718037,0.597188,Iris-versicolor
-1.225824,0.610748,Iris-versicolor
-0.374725,-1.750612,Iris-versicolor
-1.053743,-0.212314,Iris-versicolor
-0.366924,-0.586983,Iris-versicolor
-0.735521,0.776941,Iris-versicolor
0.518469,-1.837183,Iris-versicolor
-0.908275,0.02932,Iris-versicolor
0.01288,-1.02193,Iris-versicolor
0.149697,-2.645599,Iris-versicolor
-0.422949,-0.056679,Iris-versicolor
-0.527169,-1.766548,Iris-versicolor
-0.700054,-0.18422,Iris-versicolor
0.053676,-0.42757,Iris-versicolor
-0.859877,0.507727,Iris-versicolor
-0.332759,-0.187224,Iris-versicolor
-0.134588,-0.785675,Iris-versicolor
-1.190556,-1.629995,Iris-versicolor
-0.136313,-1.296266,Iris-versicolor
-0.724668,0.402587,Iris-versicolor
-0.454111,-0.41401,Iris-versicolor
-1.206315,-0.939651,Iris-versicolor
-0.611212,-0.414783,Iris-versicolor
-0.682819,-0.063145,Iris-versicolor
-0.856625,0.249327,Iris-versicolor
-1.234902,-0.084717,Iris-versicolor
-1.341229,0.325599,Iris-versicolor
-0.645153,-0.222614,Iris-versicolor
0.067059,-1.050597,Iris-versicolor
-0.099996,-1.555753,Iris-versicolor
0.00743,-1.565223,Iris-versicolor
-0.217176,-0.771084,Iris-versicolor
-1.037663,-0.635305,Iris-versicolor
-0.2065,-0.276428,Iris-versicolor
-0.420124,0.854759,Iris-versicolor
-1.033434,0.51937,Iris-versicolor
-1.012022,-1.389448,Iris-versicolor
-0.051776,-0.208337,Iris-versicolor
-0.254969,-1.323016,Iris-versicolor
-0.252995,-1.113252,Iris-versicolor
-0.607111,0.028491,Iris-versicolor
-0.310119,-0.983795,Iris-versicolor
0.395462,-2.006379,Iris-versicolor
-0.264475,-0.848644,Iris-versicolor
